Initial, Result, Steps
15763, 15763, 0
15767, 914518, 3
15827, 840037, 3
15833, 953348, 4
15858, 1008810, 2
15868, 1019920, 2
15887, 963358, 3
15913, 963358, 4
15915, 382173, 3
15919, 186571, 2
15927, 844437, 3
15933, 952248, 4
15935, 426613, 3
15977, 945538, 3
15985, 527714, 3
16057, 904508, 3
16067, 926728, 3
16076, 728926, 3
16077, 948948, 3
16167, 931128, 3
16177, 953348, 3
16257, 903408, 3
16277, 947848, 3
16287, 970068, 3
16353, 1054449, 4
16362, 559845, 4
16363, 999889, 4
16367, 930028, 3
16377, 952248, 3
16383, 1087779, 4
16503, 948948, 4
16517, 836737, 3
16523, 937838, 4
16525, 418913, 3
16566, 16566, 0
16567, 937838, 3
16587, 883278, 3
16597, 904508, 3
16603, 947848, 4
16608, 1038939, 3
16637, 885478, 3
16664, 282172, 3
16678, 1037740, 2
16723, 945538, 4
16725, 427713, 3
16727, 867757, 3
16728, 1087779, 3
16753, 16753, 0
16757, 914518, 3
16797, 16797, 0
16817, 840037, 3
16823, 953348, 4
16848, 1008810, 2
16858, 1019920, 2
16877, 963358, 3
16903, 963358, 4
16905, 382173, 3
16909, 186571, 2
16917, 844437, 3
16923, 952248, 4
16925, 426613, 3
16967, 945538, 3
16975, 527714, 3
16999, 186571, 2
17047, 904508, 3
17057, 926728, 3
17066, 728926, 3
17067, 948948, 3
17157, 931128, 3
17167, 953348, 3
17190, 559845, 5
17247, 903408, 3
17267, 947848, 3
17277, 970068, 3
17292, 17292, 0
17297, 914518, 3
17343, 1054449, 4
17352, 559845, 4
17353, 999889, 4
17357, 930028, 3
17367, 952248, 3
17373, 1087779, 4
17498, 1076570, 2
17507, 836737, 3
17513, 937838, 4
17515, 418913, 3
17556, 17556, 0
17557, 937838, 3
17577, 883278, 3
17587, 904508, 3
17597, 926728, 3
17627, 885478, 3
17654, 282172, 3
17668, 1037740, 2
17697, 931128, 3
17713, 945538, 4
17715, 427713, 3
17717, 867757, 3
17718, 1087779, 3
17743, 17743, 0
17747, 914518, 3
17787, 17787, 0
17807, 840037, 3
17813, 953348, 4
17838, 1008810, 2
17848, 1019920, 2
17867, 963358, 3
17897, 17897, 0
17907, 844437, 3
17913, 952248, 4
17915, 426613, 3
17957, 945538, 3
17965, 527714, 3
17989, 186571, 2
18037, 904508, 3
18047, 926728, 3
18056, 728926, 3
18057, 948948, 3
18096, 717816, 3
18097, 937838, 3
18147, 931128, 3
18157, 953348, 3
18180, 559845, 5
18194, 18194, 0
18237, 903408, 3
18257, 947848, 3
18267, 970068, 3
18282, 18282, 0
18287, 914518, 3
18333, 1054449, 4
18342, 559845, 4
18343, 999889, 4
18347, 930028, 3
18357, 952248, 3
18363, 1087779, 4
18488, 1076570, 2
18497, 945538, 3
18503, 937838, 4
18505, 418913, 3
18546, 18546, 0
18547, 937838, 3
18567, 883278, 3
18577, 904508, 3
18587, 926728, 3
18596, 728926, 3
18597, 948948, 3
18598, 1079980, 2
18617, 885478, 3
18644, 282172, 3
18658, 1037740, 2
18687, 931128, 3
18697, 953348, 3
18703, 945538, 4
18705, 427713, 3
18707, 867757, 3
18708, 1087779, 3
18733, 18733, 0
18737, 914518, 3
18777, 18777, 0
18797, 947848, 3
18798, 1084380, 2
18803, 953348, 4
18828, 1008810, 2
18838, 1019920, 2
18857, 963358, 3
18887, 18887, 0
18897, 952248, 3
18903, 952248, 4
18905, 426613, 3
18947, 945538, 3
18955, 527714, 3
18979, 186571, 2
19027, 904508, 3
19037, 926728, 3
19046, 728926, 3
19047, 948948, 3
19086, 717816, 3
19087, 937838, 3
19098, 1089990, 2
19137, 931128, 3
19147, 953348, 3
19170, 559845, 5
19184, 19184, 0
19227, 903408, 3
19247, 947848, 3
19257, 970068, 3
19272, 19272, 0
19277, 914518, 3
19323, 1054449, 4
19332, 559845, 4
19333, 999889, 4
19337, 930028, 3
19347, 952248, 3
19353, 1087779, 4
19397, 963358, 3
19478, 1076570, 2
19487, 945538, 3
19495, 527714, 3
19536, 19536, 0
19537, 937838, 3
19557, 883278, 3
19567, 904508, 3
19577, 926728, 3
19586, 728926, 3
19587, 948948, 3
19588, 1079980, 2
19607, 885478, 3
19634, 282172, 3
19648, 1037740, 2
19677, 931128, 3
19687, 953348, 3
19723, 19723, 0
19727, 914518, 3
19767, 19767, 0
19787, 947848, 3
19788, 1084380, 2
19792, 728926, 4
19793, 1079980, 3
19797, 970068, 3
19818, 1008810, 2
19828, 1019920, 2
19847, 963358, 3
19877, 19877, 0
19887, 952248, 3
19893, 1084380, 3
19937, 945538, 3
19945, 527714, 3
19969, 186571, 2
19998, 19998, 0
20359, 282172, 2
20459, 284372, 2
20537, 20537, 0
20552, 904508, 4
20562, 948948, 4
20576, 836737, 3
20582, 937838, 4
20584, 418913, 3
20637, 1072269, 3
20652, 903408, 4
20662, 947848, 4
20667, 1038939, 3
20696, 885478, 3
20714, 372163, 3
20727, 1054449, 3
20734, 416603, 3
20745, 559845, 3
20747, 999889, 3
20782, 945538, 4
20784, 427713, 3
20786, 867757, 3
20787, 1087779, 3
20820, 903408, 5
20842, 885478, 4
20876, 840037, 3
20882, 953348, 4
20932, 840037, 4
20962, 963358, 4
20964, 382173, 3
20968, 186571, 2
20976, 844437, 3
20982, 952248, 4
20984, 426613, 3
21349, 282172, 2
21449, 284372, 2
21527, 21527, 0
21542, 904508, 4
21552, 948948, 4
21566, 836737, 3
21572, 937838, 4
21574, 418913, 3
21627, 1072269, 3
21642, 903408, 4
21652, 947848, 4
21657, 1038939, 3
21686, 885478, 3
21704, 372163, 3
21717, 1054449, 3
21724, 416603, 3
21735, 559845, 3
21737, 999889, 3
21772, 945538, 4
21774, 427713, 3
21776, 867757, 3
21777, 1087779, 3
21810, 903408, 5
21832, 885478, 4
21866, 840037, 3
21872, 953348, 4
21897, 1008810, 2
21922, 840037, 4
21952, 963358, 4
21954, 382173, 3
21958, 186571, 2
21966, 844437, 3
21972, 952248, 4
21974, 426613, 3
22096, 904508, 3
22296, 903408, 3
22339, 282172, 2
22392, 1054449, 4
22439, 284372, 2
22517, 22517, 0
22532, 904508, 4
22542, 948948, 4
22556, 836737, 3
22562, 937838, 4
22564, 418913, 3
22617, 1072269, 3
22632, 903408, 4
22642, 947848, 4
22647, 1038939, 3
22676, 885478, 3
22707, 1054449, 3
22714, 416603, 3
22725, 559845, 3
22727, 999889, 3
22762, 945538, 4
22764, 427713, 3
22766, 867757, 3
22767, 1087779, 3
22792, 22792, 0
22796, 914518, 3
22800, 903408, 5
22856, 840037, 3
22862, 953348, 4
22887, 1008810, 2
22897, 1019920, 2
22912, 840037, 4
22942, 963358, 4
22944, 382173, 3
22948, 186571, 2
22956, 844437, 3
22962, 952248, 4
22964, 426613, 3
23086, 904508, 3
23096, 926728, 3
23196, 931128, 3
23286, 903408, 3
23329, 282172, 2
23382, 1054449, 4
23391, 559845, 4
23392, 999889, 4
23396, 930028, 3
23429, 284372, 2
23507, 23507, 0
23522, 904508, 4
23546, 836737, 3
23552, 937838, 4
23554, 418913, 3
23595, 23595, 0
23596, 937838, 3
23607, 1072269, 3
23622, 903408, 4
23637, 1038939, 3
23666, 885478, 3
23693, 282172, 3
23704, 416603, 3
23715, 559845, 3
23717, 999889, 3
23752, 945538, 4
23754, 427713, 3
23756, 867757, 3
23757, 1087779, 3
23782, 23782, 0
23786, 914518, 3
23812, 885478, 4
23846, 840037, 3
23852, 953348, 4
23877, 1008810, 2
23887, 1019920, 2
23902, 840037, 4
23934, 382173, 3
23938, 186571, 2
23946, 844437, 3
23952, 952248, 4
23954, 426613, 3
23996, 945538, 3
24076, 904508, 3
24086, 926728, 3
24095, 728926, 3
24096, 948948, 3
24186, 931128, 3
24196, 953348, 3
24276, 903408, 3
24296, 947848, 3
24319, 282172, 2
24372, 1054449, 4
24381, 559845, 4
24382, 999889, 4
24386, 930028, 3
24396, 952248, 3
24419, 284372, 2
24512, 904508, 4
24522, 948948, 4
24536, 836737, 3
24544, 418913, 3
24585, 24585, 0
24586, 937838, 3
24612, 903408, 4
24622, 947848, 4
24627, 1038939, 3
24656, 885478, 3
24683, 282172, 3
24697, 1037740, 2
24705, 559845, 3
24707, 999889, 3
24744, 427713, 3
24746, 867757, 3
24747, 1087779, 3
24772, 24772, 0
24776, 914518, 3
24802, 885478, 4
24836, 840037, 3
24867, 1008810, 2
24877, 1019920, 2
24896, 963358, 3
24922, 963358, 4
24924, 382173, 3
24928, 186571, 2
24936, 844437, 3
24944, 426613, 3
24986, 945538, 3
24994, 527714, 3
25066, 904508, 3
25076, 926728, 3
25085, 728926, 3
25086, 948948, 3
25176, 931128, 3
25186, 953348, 3
25266, 903408, 3
25286, 947848, 3
25296, 970068, 3
25309, 282172, 2
25362, 1054449, 4
25371, 559845, 4
25372, 999889, 4
25376, 930028, 3
25386, 952248, 3
25392, 1087779, 4
25399, 25399, 0
25409, 284372, 2
25499, 284372, 2
25502, 904508, 4
25512, 948948, 4
25526, 836737, 3
25532, 937838, 4
25534, 418913, 3
25575, 25575, 0
25576, 937838, 3
25596, 883278, 3
25602, 903408, 4
25612, 947848, 4
25617, 1038939, 3
25646, 885478, 3
25673, 282172, 3
25687, 1037740, 2
25732, 945538, 4
25734, 427713, 3
25736, 867757, 3
25737, 1087779, 3
25762, 25762, 0
25766, 914518, 3
25826, 840037, 3
25832, 953348, 4
25857, 1008810, 2
25867, 1019920, 2
25886, 963358, 3
25912, 963358, 4
25914, 382173, 3
25918, 186571, 2
25926, 844437, 3
25932, 952248, 4
25934, 426613, 3
25976, 945538, 3
25984, 527714, 3
26056, 904508, 3
26066, 926728, 3
26075, 728926, 3
26076, 948948, 3
26166, 931128, 3
26176, 953348, 3
26256, 903408, 3
26276, 947848, 3
26286, 970068, 3
26352, 1054449, 4
26361, 559845, 4
26366, 930028, 3
26376, 952248, 3
26382, 1087779, 4
26389, 26389, 0
26489, 284372, 2
26502, 948948, 4
26516, 836737, 3
26522, 937838, 4
26524, 418913, 3
26565, 26565, 0
26566, 937838, 3
26586, 883278, 3
26596, 904508, 3
26602, 947848, 4
26607, 1038939, 3
26636, 885478, 3
26663, 282172, 3
26677, 1037740, 2
26722, 945538, 4
26724, 427713, 3
26726, 867757, 3
26727, 1087779, 3
26752, 26752, 0
26756, 914518, 3
26796, 26796, 0
26816, 840037, 3
26822, 953348, 4
26847, 1008810, 2
26857, 1019920, 2
26876, 963358, 3
26902, 963358, 4
26904, 382173, 3
26908, 186571, 2
26916, 844437, 3
26922, 952248, 4
26924, 426613, 3
26966, 945538, 3
26974, 527714, 3
26998, 186571, 2
27046, 904508, 3
27056, 926728, 3
27065, 728926, 3
27066, 948948, 3
27156, 931128, 3
27166, 953348, 3
27246, 903408, 3
27266, 947848, 3
27276, 970068, 3
27291, 27291, 0
27296, 914518, 3
27342, 1054449, 4
27351, 559845, 4
27352, 999889, 4
27356, 930028, 3
27366, 952248, 3
27379, 27379, 0
27479, 284372, 2
27497, 1076570, 2
27506, 836737, 3
