Initial, Result, Steps
1101, 2112, 1
1102, 3113, 1
1103, 4114, 1
1104, 5115, 1
1105, 6116, 1
1106, 7117, 1
1107, 8118, 1
1108, 9119, 1
1109, 10120, 1
1110, 1221, 1
1111, 1111, 0
1112, 3223, 1
1113, 4224, 1
1114, 5225, 1
1115, 6226, 1
1116, 7227, 1
1117, 8228, 1
1118, 9229, 1
1119, 10230, 1
1120, 1331, 1
1121, 2332, 1
1122, 1122, 0
1123, 4334, 1
1124, 5335, 1
1125, 6336, 1
1126, 7337, 1
1127, 8338, 1
1128, 9339, 1
1129, 10340, 1
1130, 1441, 1
1131, 2442, 1
1132, 3443, 1
1133, 1133, 0
1134, 5445, 1
1135, 6446, 1
1136, 7447, 1
1137, 8448, 1
1138, 9449, 1
1139, 10450, 1
1140, 1551, 1
1141, 2552, 1
1142, 3553, 1
1143, 4554, 1
1144, 1144, 0
1145, 6556, 1
1146, 7557, 1
1147, 8558, 1
1148, 9559, 1
1149, 10560, 1
1150, 1661, 1
1151, 2662, 1
1152, 3663, 1
1153, 4664, 1
1154, 5665, 1
1155, 1155, 0
1156, 7667, 1
1157, 8668, 1
1158, 9669, 1
1159, 10670, 1
1160, 1771, 1
1161, 2772, 1
1162, 3773, 1
1163, 4774, 1
1164, 5775, 1
1165, 6776, 1
1166, 1166, 0
1167, 8778, 1
1168, 9779, 1
1169, 10780, 1
1170, 1881, 1
1171, 2882, 1
1172, 3883, 1
1173, 4884, 1
1174, 5885, 1
1175, 6886, 1
1176, 7887, 1
1177, 1177, 0
1178, 9889, 1
1179, 10890, 1
1180, 1991, 1
1181, 2992, 1
1182, 3993, 1
1183, 4994, 1
1184, 5995, 1
1185, 6996, 1
1186, 7997, 1
1187, 8998, 1
1188, 1188, 0
1189, 11000, 1
1190, 2101, 1
1191, 3102, 1
1192, 4103, 1
1193, 5104, 1
1194, 6105, 1
1195, 7106, 1
1196, 8107, 1
1197, 9108, 1
1198, 10109, 1
1199, 1199, 0
1200, 1221, 1
1201, 2222, 1
1202, 3223, 1
1203, 4224, 1
1204, 5225, 1
1205, 6226, 1
1206, 7227, 1
1207, 8228, 1
1208, 9229, 1
1209, 10230, 1
1210, 1210, 0
1211, 2332, 1
1212, 3333, 1
1213, 4334, 1
1214, 5335, 1
1215, 6336, 1
1216, 7337, 1
1217, 8338, 1
1218, 9339, 1
1219, 10340, 1
1220, 1441, 1
1221, 1221, 0
1222, 3443, 1
1223, 4444, 1
1224, 5445, 1
1225, 6446, 1
1226, 7447, 1
1227, 8448, 1
1228, 9449, 1
1229, 10450, 1
1230, 1551, 1
1231, 2552, 1
1232, 1232, 0
1233, 4554, 1
1234, 5555, 1
1235, 6556, 1
1236, 7557, 1
1237, 8558, 1
1238, 9559, 1
1239, 10560, 1
1240, 1661, 1
1241, 2662, 1
1242, 3663, 1
1243, 1243, 0
1244, 5665, 1
1245, 6666, 1
1246, 7667, 1
1247, 8668, 1
1248, 9669, 1
1249, 10670, 1
1250, 1771, 1
1251, 2772, 1
1252, 3773, 1
1253, 4774, 1
1254, 1254, 0
1255, 6776, 1
1256, 7777, 1
1257, 8778, 1
1258, 9779, 1
1259, 10780, 1
1260, 1881, 1
1261, 2882, 1
1262, 3883, 1
1263, 4884, 1
1264, 5885, 1
1265, 1265, 0
1266, 7887, 1
1267, 8888, 1
1268, 9889, 1
1269, 10890, 1
1270, 1991, 1
1271, 2992, 1
1272, 3993, 1
1273, 4994, 1
1274, 5995, 1
1275, 6996, 1
1276, 1276, 0
1277, 8998, 1
1278, 9999, 1
1279, 11000, 1
1280, 2101, 1
1281, 3102, 1
1282, 4103, 1
1283, 5104, 1
1284, 6105, 1
1285, 7106, 1
1286, 8107, 1
1287, 1287, 0
1288, 10109, 1
1289, 11110, 1
1290, 2211, 1
1291, 3212, 1
1292, 4213, 1
1293, 5214, 1
1294, 6215, 1
1295, 7216, 1
1296, 8217, 1
1297, 9218, 1
1298, 1298, 0
1299, 11220, 1
1300, 1331, 1
1301, 2332, 1
1302, 3333, 1
1303, 4334, 1
1304, 5335, 1
1305, 6336, 1
1306, 7337, 1
1307, 8338, 1
1308, 9339, 1
1309, 1309, 0
1310, 1441, 1
1311, 2442, 1
1312, 3443, 1
1313, 4444, 1
1314, 5445, 1
1315, 6446, 1
1316, 7447, 1
1317, 8448, 1
1318, 9449, 1
1319, 10450, 1
1320, 1320, 0
1321, 2552, 1
1322, 3553, 1
1323, 4554, 1
1324, 5555, 1
1325, 6556, 1
1326, 7557, 1
1327, 8558, 1
1328, 9559, 1
1329, 10560, 1
1330, 1661, 1
1331, 1331, 0
1332, 3663, 1
1333, 4664, 1
1334, 5665, 1
1335, 6666, 1
1336, 7667, 1
1337, 8668, 1
1338, 9669, 1
1339, 10670, 1
1340, 1771, 1
1341, 2772, 1
1342, 1342, 0
1343, 4774, 1
1344, 5775, 1
1345, 6776, 1
1346, 7777, 1
1347, 8778, 1
1348, 9779, 1
1349, 10780, 1
1350, 1881, 1
1351, 2882, 1
1352, 3883, 1
1353, 1353, 0
1354, 5885, 1
1355, 6886, 1
1356, 7887, 1
1357, 8888, 1
1358, 9889, 1
1359, 10890, 1
1360, 1991, 1
1361, 2992, 1
1362, 3993, 1
1363, 4994, 1
1364, 1364, 0
1365, 6996, 1
1366, 7997, 1
1367, 8998, 1
1368, 9999, 1
1369, 11000, 1
1370, 2101, 1
1371, 3102, 1
1372, 4103, 1
1373, 5104, 1
1374, 6105, 1
1375, 1375, 0
1376, 8107, 1
1377, 9108, 1
1378, 10109, 1
1379, 11110, 1
1380, 2211, 1
1381, 3212, 1
1382, 4213, 1
1383, 5214, 1
1384, 6215, 1
1385, 7216, 1
1386, 1386, 0
1387, 9218, 1
1388, 10219, 1
1389, 11220, 1
1390, 2321, 1
